mass,max_acceleration,yaw_inertia,length,max_steering_stiffness_front,max_steering_stiffness_rear,tyre_friction,cd,cross_sectional_area,opt_steer_kp,opt_steer_ki,opt_steer_kd,opt_speed_kp,opt_speed_ki,opt_speed_kd,best_speed_error,best_heading_error
3664.0,8.8001032834214,13324.0,3.34108394335534,137258.514462899,136324.98937419800,1.24445771190252,0.43802617075196500,1.80719016535283,369.174734450295,26.3802000702369,19.1412050699886,18.985490708803800,934.511100529654,0.40055805435413700,35.1197081700503,4.49937228144694
4229.0,5.34759525352985,21099.0,3.87404931220973,186656.405282377,236502.56624095500,1.20503777459791,0.344063253566113,2.09992518792651,325.970343558146,19.5366963384684,22.044929636195400,42.8422100793982,1482.28809158164,0.15146601496098,50.4723467397976,4.52558850687033
4392.0,1.15919087945528,27778.0,4.52211491543771,213408.45919502900,267973.521695451,1.15622184678114,0.25201632190522800,2.62678620819948,373.736456537992,44.6950127394527,35.8158338513678,33.1190503267702,1471.85478642136,0.35676666866522200,533.582910555642,13.136692325394
2171.0,2.66065666221725,6858.0,3.4208451093171,128914.451673874,97668.2428586677,0.5084184949927140,0.22807095697412500,2.64655083769705,444.445162219273,31.2966843220103,24.9078101707858,36.040373089518400,1460.66179819789,0.39780847367244500,168.775918479735,4.56190354334627
3879.0,1.94597036559634,14378.0,4.29238732949168,195828.090719352,197665.199398655,0.726226216933192,0.28668139845419,3.10149010874495,464.984154078859,24.135657025365100,15.595882111862500,22.2487423840695,1491.83839728156,0.50825510776811,238.630631799221,4.80433241445511
3689.0,6.28090428668187,12336.0,3.39318101639968,199540.589780951,170141.986725241,0.9256153155481830,0.231724889307233,1.85196616177914,415.073208768869,26.3070703575135,16.0087701773658,11.8564665935693,1391.4149567636600,0.5849627356764660,44.910953144040600,4.51157484305988
2869.0,4.14993487854202,6091.0,2.99027025496279,103299.073359001,91312.8191833063,0.333899618024733,0.341585434015974,2.07208628020296,578.784369289342,42.8172707381848,12.8521271223329,24.4009133189396,1089.84894496894,0.55240580190971,141.925706896366,4.52316176463321
3249.0,7.47496715426148,8806.0,3.64828359608732,99026.4350961383,172907.979865687,1.16228803001705,0.42579600992113300,2.49405109516816,538.122315623731,30.5464807464487,12.154082174629500,46.5747824119823,1490.8651020355700,0.0400641587193658,35.5264890949289,4.53439145987756
1397.0,3.92437405399116,5156.0,3.50271641526875,55454.6752415259,45144.211624114100,0.46754331298448500,0.437638538778762,2.58154380626287,392.791893623687,28.9195678619057,16.5328307714425,26.6387906339331,1442.7872587566500,0.48817157502006600,124.833503988415,4.52187674670487
4359.0,7.18575741251952,24670.0,4.56230979583978,181990.071462529,124466.63282312600,1.06967784719182,0.27837188574002200,3.73218803016499,318.670628072942,24.6479809786668,18.8097899732957,45.535579779024000,1444.1596377705800,0.165678220775089,35.9072691660021,4.50907813533791
